candidate_key,candidate_group_key,model_name,family_id,seed,protocols_present,has_all_protocols,gate_pass,gate_failure_category,worst_attacked_benign_fpr,worst_clean_fpr,worst_adv_malicious_recall,mean_clean_f1,mean_robust_f1,final_rank
xgboost__B__42,xgboost__B,xgboost,B,42,"bluetooth,mqtt,wifi",True,True,none,0.0,5.307714763408614e-05,0.99,0.9968886470878168,0.9970989827616714,1
mlp__B__42,mlp__B,mlp,B,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.08266666666666667,0.052307528993391895,0.99,0.9819848460118931,0.9764370267446413,2
mlp__C__42,mlp__C,mlp,C,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.122,0.07972187574639739,0.99,0.9827982392911766,0.9741765991560735,3
mlp__D__42,mlp__D,mlp,D,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.16533333333333333,0.13171094185398477,0.99,0.9777069125345159,0.9708670617376497,4
mlp__E__42,mlp__E,mlp,E,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.172,0.13322364056155622,0.99,0.9671175724620787,0.9598405534330453,5
catboost__E__42,catboost__E,catboost,E,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.5413333333333333,0.5445987936391884,0.9926666666666667,0.9204273046537562,0.926767094261586,6
catboost__B__42,catboost__B,catboost,B,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.5466666666666666,0.5469749588740632,0.9926666666666667,0.920267858914387,0.9262177131394201,7
catboost__C__42,catboost__C,catboost,C,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.7473333333333333,0.7557119356607567,0.9946666666666667,0.9003152987136028,0.9076558734845834,8
catboost__A__42,catboost__A,catboost,A,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.7693333333333333,0.7725278742460245,0.9933333333333333,0.8981712713687525,0.9050577642901262,9
catboost__D__42,catboost__D,catboost,D,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.8373333333333334,0.8424419667336868,0.9913333333333333,0.8920973850723493,0.8990650068169082,10
xgboost__C__42,xgboost__C,xgboost,C,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.9326666666666666,0.9364832754523853,0.99,0.8838826395367692,0.8905934105110304,11
mlp__A__42,mlp__A,mlp,A,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.9493333333333334,0.9502376165234875,0.9913333333333333,0.8652947008832639,0.8624367282476223,12
lightgbm__A__42,lightgbm__A,lightgbm,A,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.968,0.9706178029610675,0.994,0.8817369762514513,0.8892794682195347,13
lightgbm__C__42,lightgbm__C,lightgbm,C,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.9693333333333334,0.9723085359166515,0.99,0.8815381714192544,0.8885065759290361,14
lightgbm__B__42,lightgbm__B,lightgbm,B,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.9733333333333334,0.9764211295923962,0.9906666666666667,0.8811367823939672,0.8884277988561001,15
lightgbm__E__42,lightgbm__E,lightgbm,E,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.9733333333333334,0.9764211295923962,0.9906666666666667,0.8808913389618582,0.8884277988561001,16
xgboost__A__42,xgboost__A,xgboost,A,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.9733333333333334,0.9766953025041126,0.9933333333333333,0.8816828136777443,0.8894334191013206,17
xgboost__D__42,xgboost__D,xgboost,D,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.976,0.9781118625479802,0.9933333333333333,0.8811512335001361,0.8887865795453814,18
xgboost__E__42,xgboost__E,xgboost,E,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.978,0.9797112045329921,0.9933333333333333,0.8814881202103999,0.8891933597501026,19
lightgbm__D__42,lightgbm__D,lightgbm,D,42,"bluetooth,mqtt,wifi",True,False,fpr_only,0.9826666666666667,0.982133065253153,0.9946666666666667,0.8811248519728628,0.8882866966107018,20
