model,attack_family,n,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
xgboost_tuned,Benign,48408,0.0,0.0,0.0,0.09764914890100809,nan,0.0,0,43681,4727,0
xgboost_tuned,DDoS,1117096,1.0,0.9999973144653638,0.9999986572308789,0.0,nan,1.0,1117093,0,0,3
xgboost_tuned,DoS,428312,1.0,1.0,1.0,0.0,nan,1.0,428312,0,0,0
xgboost_tuned,Malformed,1747,1.0,0.886090440755581,0.9396054628224583,0.0,nan,1.0,1548,0,0,199
xgboost_tuned,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
xgboost_tuned,Recon,27676,1.0,0.9728645758057523,0.9862456731561693,0.0,nan,0.9999999999999999,26925,0,0,751
xgboost_tuned,Spoofing,1744,1.0,0.669151376146789,0.8017863277224322,0.0,nan,1.0,1167,0,0,577
complex_mlp_tuned,Benign,48408,0.0,0.0,0.0,0.060114030738720875,nan,0.0,0,45498,2910,0
complex_mlp_tuned,DDoS,1117096,1.0,0.9999865723268189,0.9999932861183335,0.0,nan,1.0,1117081,0,0,15
complex_mlp_tuned,DoS,428312,1.0,0.9999906610134668,0.9999953304849292,0.0,nan,1.0,428308,0,0,4
complex_mlp_tuned,Malformed,1747,1.0,0.5884373211219233,0.7409009009009009,0.0,nan,1.0,1028,0,0,719
complex_mlp_tuned,Other,25170,1.0,0.9999602701628924,0.9999801346868233,0.0,nan,1.0,25169,0,0,1
complex_mlp_tuned,Recon,27676,1.0,0.9456207544442838,0.9720504392073839,0.0,nan,1.0,26171,0,0,1505
complex_mlp_tuned,Spoofing,1744,1.0,0.25,0.4,0.0,nan,1.0,436,0,0,1308
weighted_ensemble,Benign,48408,0.0,0.0,0.0,0.09764914890100809,nan,0.0,0,43681,4727,0
weighted_ensemble,DDoS,1117096,1.0,0.9999973144653638,0.9999986572308789,0.0,nan,1.0,1117093,0,0,3
weighted_ensemble,DoS,428312,1.0,1.0,1.0,0.0,nan,1.0,428312,0,0,0
weighted_ensemble,Malformed,1747,1.0,0.886090440755581,0.9396054628224583,0.0,nan,1.0,1548,0,0,199
weighted_ensemble,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
weighted_ensemble,Recon,27676,1.0,0.9728645758057523,0.9862456731561693,0.0,nan,1.0,26925,0,0,751
weighted_ensemble,Spoofing,1744,1.0,0.669151376146789,0.8017863277224322,0.0,nan,1.0,1167,0,0,577
