seed,split_seed_used,stability_sampling_mode,candidate_key,candidate_group_key,model_name,family_id,global_gate_pass,worst_attacked_benign_fpr,worst_clean_fpr,worst_adv_malicious_recall,primary_fail_reason
43,42,fixed,catboost__B__43,catboost__B,catboost,B,False,0.056666666666666664,0.0004776943287067753,0.9901666666666666,fpr_only
43,42,fixed,catboost__C__43,catboost__C,catboost,C,False,0.06633333333333333,0.0004776943287067753,0.99,fpr_only
43,42,fixed,catboost__E__43,catboost__E,catboost,E,False,0.06766666666666667,0.0004511557548897322,0.99,fpr_only
44,42,fixed,catboost__C__44,catboost__C,catboost,C,False,0.0235,0.00026538573817043074,0.99,fpr_only
44,42,fixed,catboost__E__44,catboost__E,catboost,E,False,0.028333333333333332,0.00023884716435338766,0.9903333333333333,fpr_only
44,42,fixed,catboost__B__44,catboost__B,catboost,B,False,0.043166666666666666,0.000371540033438603,0.9901666666666666,fpr_only
45,42,fixed,catboost__C__45,catboost__C,catboost,C,False,0.015166666666666667,0.00026538573817043074,0.9903333333333333,fpr_only
45,42,fixed,catboost__E__45,catboost__E,catboost,E,False,0.024333333333333332,0.00042461718107268914,0.99,fpr_only
45,42,fixed,catboost__B__45,catboost__B,catboost,B,False,0.038,0.0005573100501579045,0.99,fpr_only
46,42,fixed,catboost__B__46,catboost__B,catboost,B,False,0.0235,0.00031846288580451686,0.9901666666666666,fpr_only
46,42,fixed,catboost__E__46,catboost__E,catboost,E,False,0.03,0.00031846288580451686,0.9903333333333333,fpr_only
46,42,fixed,catboost__C__46,catboost__C,catboost,C,False,0.03766666666666667,0.0004776943287067753,0.9906666666666667,fpr_only
47,42,fixed,catboost__E__47,catboost__E,catboost,E,False,0.007,0.0001857700167193015,0.9903333333333333,fpr_only
47,42,fixed,catboost__B__47,catboost__B,catboost,B,False,0.009833333333333333,0.00026538573817043074,0.9903333333333333,fpr_only
47,42,fixed,catboost__C__47,catboost__C,catboost,C,False,0.014833333333333334,0.00031846288580451686,0.9903333333333333,fpr_only
48,42,fixed,catboost__C__48,catboost__C,catboost,C,False,0.02,0.00042461718107268914,0.9903333333333333,fpr_only
48,42,fixed,catboost__B__48,catboost__B,catboost,B,False,0.043,0.0005307714763408615,0.99,fpr_only
48,42,fixed,catboost__E__48,catboost__E,catboost,E,False,0.09533333333333334,0.0005573100501579045,0.99,fpr_only
49,42,fixed,catboost__E__49,catboost__E,catboost,E,False,0.0145,0.00029192431198747377,0.9903333333333333,fpr_only
49,42,fixed,catboost__C__49,catboost__C,catboost,C,False,0.025166666666666667,0.00034500145962155994,0.99,fpr_only
49,42,fixed,catboost__B__49,catboost__B,catboost,B,False,0.05633333333333333,0.0004511557548897322,0.9903333333333333,fpr_only
50,42,fixed,catboost__E__50,catboost__E,catboost,E,False,0.016666666666666666,0.00034500145962155994,0.99,fpr_only
50,42,fixed,catboost__C__50,catboost__C,catboost,C,False,0.0195,0.00039807860725564606,0.9905,fpr_only
50,42,fixed,catboost__B__50,catboost__B,catboost,B,False,0.0265,0.00031846288580451686,0.9903333333333333,fpr_only
