split,epsilon,source_relpath,source_row_index,baseline_margin,adv_margin,queries_used,l0,l2,linf
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,42837,-0.860763375231727,0.033008873462677,48,5,1072.0000427574512,1072.0
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,114643,-0.8607143012050074,0.1373315453529358,48,8,2427.7639110155988,2427.6796875
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,181895,-0.8607707768500745,0.13493233919143677,48,5,22.895415481413757,22.800018310546875
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,135536,-0.8607588035538356,0.13021737337112427,48,5,15273888.00000001,15273888.0
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,44944,-0.8607701960576151,0.13634467124938965,48,7,56.90266474069887,54.696533203125
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,115403,-0.8607708638274119,0.13682669401168823,48,6,74.55673724452105,74.06875610351562
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,135518,-0.860754128498229,0.1311553716659546,48,6,7746928.000162577,7746928.0
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,86428,-0.8607710900170247,0.04246318340301514,48,7,14.25394173702506,10.978981018066406
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,45775,-0.8607619677814,0.012462615966796875,48,3,362.62551780758275,362.62548828125
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,94145,-0.8607677389054516,0.13706982135772705,48,5,43.94436220163068,43.880340576171875
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,52434,-0.860755645458994,0.07908350229263306,48,4,28.202853217030103,28.20172119140625
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,127514,-0.8607703472556523,0.13115084171295166,48,7,286.65878988204554,212.611328125
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,104437,-0.860726560029434,0.06836998462677002,48,6,86.88118395740634,64.32000732421875
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,156117,-0.8607398472886416,0.0749657154083252,24,2,6135520.004108471,6135520.0
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,186645,-0.860770126195689,0.13164085149765015,48,8,767.0932247281606,766.798828125
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,116501,-0.8607711779765026,0.13505488634109497,48,4,0.3391484982871018,0.1850433647632599
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,49006,-0.8607711866193313,0.13829666376113892,48,6,81162.53133008421,81162.53125
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,159753,-0.860770736372217,0.13890624046325684,48,6,12126768.000048531,12126768.0
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,96423,-0.8607706985208665,0.13637667894363403,48,6,50.336689006759926,50.238037109375
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,93606,-0.8607264892780222,0.1390271782875061,48,5,8631296.000032885,8631296.0
train_mqtt_xgboost_balanced,0.1,WiFI_and_MQTT/profiling/CSV/ActiveBroker.pcap.csv,187433,-0.8607225158557412,0.13684767484664917,48,5,7045392.000224217,7045392.0
