source_relpath,protocol_hint,attack_name,attack_family,label,source_row_index,Header_Length,Protocol Type,Duration,Rate,Srate,Drate,fin_flag_number,syn_flag_number,rst_flag_number,psh_flag_number,ack_flag_number,ece_flag_number,cwr_flag_number,ack_count,syn_count,fin_count,rst_count,HTTP,HTTPS,DNS,Telnet,SMTP,SSH,IRC,TCP,UDP,DHCP,ARP,ICMP,IGMP,IPv,LLC,Tot sum,Min,Max,AVG,Std,Tot size,IAT,Number,Magnitue,Radius,Covariance,Variance,Weight,protocol_used,score_attack,threshold,prediction,case_id
Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,bluetooth,Bluetooth_DoS,Other,1,360,5.6,0.0,0.0,155.735732543806,0.0,155.735732543806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,86286.0,12.0,36.0,23.99833101426592,11.999999767873735,24.0,0.0031918048858642,3595.5,4.898809139499935,11.999999767873735,0.0,0.0,0.0,bluetooth,0.9989697933197021,0.998250424861908,1,bluetooth_TP_001
Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,bluetooth,Bluetooth_DoS,Other,1,361,4.2,0.0,0.0,155.80699625213254,0.0,155.80699625213254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,86526.0,12.0,36.0,23.99833564391305,11.999999769159754,24.0,0.00590500831604,3605.5,4.898809612044135,11.999999769159754,0.0,0.0,0.0,bluetooth,0.9989697933197021,0.998250424861908,1,bluetooth_TP_002
Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,bluetooth,Bluetooth_DoS,Other,1,362,4.2,0.0,0.0,155.9144724288414,0.0,155.9144724288414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,86766.0,12.0,36.0,23.998340247946604,11.999999770435116,24.0,0.0058976888656616,3615.5,4.898810081973886,11.999999770435116,0.0,0.0,0.0,bluetooth,0.9989697933197021,0.998250424861908,1,bluetooth_TP_003
Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,bluetooth,Bluetooth_DoS,Other,1,363,5.6,0.0,0.0,156.02151817215304,0.0,156.02151817215304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,87006.0,12.0,36.0,23.99834482657854,11.999999771699937,24.0,0.0031984090805053,3625.5,4.898810549310826,11.999999771699937,0.0,0.0,0.0,bluetooth,0.9989697933197021,0.998250424861908,1,bluetooth_TP_004
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,bluetooth,Bluetooth_Benign,Benign,0,1,11.2,0.0,0.0,876.3464509089803,0.0,876.3464509089803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,291.4,11.0,125.7,45.021746031746034,36.11820083200019,59.1,0.0018813848495483,5.5,6.557445406776246,36.11820083200019,0.0,0.0,0.0,bluetooth,0.06212826445698738,0.998250424861908,0,bluetooth_TN_001
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,bluetooth,Bluetooth_Benign,Benign,0,2,4.2,0.0,0.0,248.51176942015528,0.0,248.51176942015528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,801.2,9.2,249.0,51.95554688646407,63.12512349102489,40.1,0.0073592185974121,15.5,7.20207651563284,63.12512349102489,0.0,0.0,0.0,bluetooth,0.011672545224428177,0.998250424861908,0,bluetooth_TN_002
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,bluetooth,Bluetooth_Benign,Benign,0,3,14.0,0.0,0.0,155.69858251574337,0.0,155.69858251574337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1245.3,8.0,249.0,48.89594741903663,61.08724326024026,45.0,0.0147125959396362,25.5,6.99244976657013,61.08724326024026,0.0,0.0,0.0,bluetooth,0.002804017160087824,0.998250424861908,0,bluetooth_TN_003
Bluetooth/attacks/csv/test/Bluetooth_Benign_test.pcap.csv,bluetooth,Bluetooth_Benign,Benign,0,4,11.2,0.0,0.0,133.54111294952122,0.0,133.54111294952122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1886.6,8.0,249.0,52.947336333908105,63.133898803634814,76.3,0.0061877965927124,35.5,7.273570716571871,63.133898803634814,0.0,0.0,0.0,bluetooth,0.002804017160087824,0.998250424861908,0,bluetooth_TN_004
Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,bluetooth,Bluetooth_DoS,Other,1,1,4.2,0.0,0.0,16911.671546645568,0.0,16911.671546645568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,126.0,12.0,33.6,21.855238095238093,10.687387496767233,24.0,0.008804702758789,5.5,4.656044205392991,10.687387496767233,0.0,0.0,0.0,bluetooth,0.290205180644989,0.998250424861908,0,bluetooth_FN_001
Bluetooth/attacks/csv/test/Bluetooth_DoS_test.pcap.csv,bluetooth,Bluetooth_DoS,Other,1,2,4.2,0.0,0.0,131.89141456239716,0.0,131.89141456239716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,366.0,12.0,36.0,23.58485526857044,11.985064708854114,24.0,0.0060967922210693,15.5,4.856221155907887,11.985064708854114,0.0,0.0,0.0,bluetooth,0.5491827726364136,0.998250424861908,0,bluetooth_FN_002
