protocol_hint,model,selection_score,threshold,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn,val_f1_at_selected_threshold,val_precision_at_selected_threshold,val_recall_at_selected_threshold,val_fpr_at_selected_threshold,val_threshold_feasible
bluetooth,xgboost_tuned__bluetooth,0.9914451144992287,0.998250424861908,1.0,0.9830353595550259,0.9914451144992287,0.0,0.986453471512885,0.9971202645483814,24743,6671,0,427,0.9960029161115161,0.999949522992277,0.9920873397435898,4.5695485286053735e-05,1
bluetooth,catboost_tuned__bluetooth,0.9900084266281449,0.5101750683542801,1.0,0.9802145411203814,0.9900084266281449,0.0,0.9910474580080755,0.9961724992707963,24672,6671,0,498,1.0,1.0,1.0,0.0,1
bluetooth,lightgbm_tuned__bluetooth,0.0,inf,0.0,0.0,0.0,0.0,0.5231639660680629,0.7982386111255921,0,6671,0,25170,0.0,0.0,0.0,0.0,1
bluetooth,complex_mlp_tuned__bluetooth,0.9999801354760534,0.16395872831344604,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.9998586675514313,0.9998863836044171,25170,6670,1,0,0.9997996393508315,1.0,0.9995993589743589,0.0,1
bluetooth,weighted_ensemble__bluetooth,0.5855147696699889,0.43473702669143677,0.9716646077825818,1.0,0.9856286956181227,0.11002848148703342,0.9999999940443955,0.9999999984216028,25170,5937,734,0,1.0,1.0,1.0,0.0,1
mqtt,xgboost_tuned__mqtt,0.9984831456258793,0.4878806471824646,1.0,0.9969708859766147,0.9984831456258793,0.0,nan,1.0,63522,0,0,193,0.9993817237541733,0.9998096796909198,0.9989541340229711,0.00025308126439399693,1
mqtt,catboost_tuned__mqtt,0.9970722032457617,0.6446981167057539,1.0,0.9941615004316096,0.9970722032457617,0.0,nan,1.0,63343,0,0,372,0.9995624631422756,0.9999619381113691,0.9991633072183768,5.061625287879938e-05,1
mqtt,lightgbm_tuned__mqtt,0.998845093217476,0.4241460893522542,1.0,0.997692850977007,0.998845093217476,0.0,nan,1.0,63568,0,0,147,0.9995530152450333,0.9998097448678678,0.9992964174336351,0.00025308126439399693,1
mqtt,complex_mlp_tuned__mqtt,0.9956493639559262,0.5013458132743835,1.0,0.9913364199952915,0.9956493639559262,0.0,nan,1.0,63163,0,0,552,0.9978752393928711,1.0,0.9957594888567735,0.0,1
mqtt,weighted_ensemble__mqtt,0.9977663473487173,0.33367910981178284,1.0,0.9955426508671428,0.9977663473487173,0.0,nan,1.0,63431,0,0,284,0.9994292020244302,1.0,0.9988590552977865,0.0,1
wifi,xgboost_tuned__wifi,0.999228683449968,0.2261005938053131,0.9999953659017756,0.9984631757069392,0.999228683449968,0.00016771689388312528,0.9998595064523166,0.9999961010855143,1510535,41730,7,2325,0.9974438692395767,0.9999685347733112,0.9949319198740024,0.0012027849096754794,1
wifi,catboost_tuned__wifi,0.9992714005018506,0.3152842853344552,0.9999695515270902,0.9985742236558571,0.9992714005018506,0.0011021395883748233,0.9998470075525746,0.9999946847049401,1510703,41691,46,2157,0.9975277483318412,0.9999370840514725,0.9951299952317422,0.002405569819350959,1
wifi,complex_mlp_tuned__wifi,0.9986567275314597,0.10757910460233688,0.9999787920059118,0.997338154224449,0.9986567275314597,0.0007667058006085727,0.9995061531064374,0.9999865184901299,1508833,41705,32,4027,0.9948871861976114,0.9999525616986804,0.9898728705393911,0.001804177364513219,1
wifi,weighted_ensemble__wifi,0.9992928958856991,0.21216687560081482,0.9999940426545931,0.9985927316473434,0.9992928958856991,0.00021563600642116108,0.9998947411712118,0.9999971093090417,1510731,41728,9,2129,0.9974474906763093,0.9999721653763907,0.994935532190557,0.0010640020354821548,1
