model,attack_family,n,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
xgboost_tuned__bluetooth,Benign,6671,0.0,0.0,0.0,0.0,nan,0.0,0,6671,0,0
xgboost_tuned__bluetooth,Other,25170,1.0,0.9830353595550259,0.9914451144992287,0.0,nan,1.0,24743,0,0,427
catboost_tuned__bluetooth,Benign,6671,0.0,0.0,0.0,0.0,nan,0.0,0,6671,0,0
catboost_tuned__bluetooth,Other,25170,1.0,0.9802145411203814,0.9900084266281449,0.0,nan,1.0,24672,0,0,498
lightgbm_tuned__bluetooth,Benign,6671,0.0,0.0,0.0,0.0,nan,0.0,0,6671,0,0
lightgbm_tuned__bluetooth,Other,25170,0.0,0.0,0.0,0.0,nan,1.0,0,0,0,25170
complex_mlp_tuned__bluetooth,Benign,6671,0.0,0.0,0.0,0.00014990256333383302,nan,0.0,0,6670,1,0
complex_mlp_tuned__bluetooth,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
weighted_ensemble__bluetooth,Benign,6671,0.0,0.0,0.0,0.11002848148703342,nan,0.0,0,5937,734,0
weighted_ensemble__bluetooth,Other,25170,1.0,1.0,1.0,0.0,nan,1.0,25170,0,0,0
xgboost_tuned__mqtt,DDoS,50332,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
xgboost_tuned__mqtt,DoS,11636,1.0,1.0,1.0,0.0,nan,0.9999999999999999,11636,0,0,0
xgboost_tuned__mqtt,Malformed,1747,1.0,0.8895248998282771,0.941532868827628,0.0,nan,1.0,1554,0,0,193
catboost_tuned__mqtt,DDoS,50332,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
catboost_tuned__mqtt,DoS,11636,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
catboost_tuned__mqtt,Malformed,1747,1.0,0.7870635374928449,0.8808456117873158,0.0,nan,1.0,1375,0,0,372
lightgbm_tuned__mqtt,DDoS,50332,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
lightgbm_tuned__mqtt,DoS,11636,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
lightgbm_tuned__mqtt,Malformed,1747,1.0,0.9158557527189468,0.9560800717060054,0.0,nan,1.0,1600,0,0,147
complex_mlp_tuned__mqtt,DDoS,50332,1.0,0.9997218469363427,0.9998609041231992,0.0,nan,1.0,50318,0,0,14
complex_mlp_tuned__mqtt,DoS,11636,1.0,0.9996562392574768,0.9998280900807976,0.0,nan,1.0,11632,0,0,4
complex_mlp_tuned__mqtt,Malformed,1747,1.0,0.6943331425300515,0.8195945945945946,0.0,nan,1.0,1213,0,0,534
weighted_ensemble__mqtt,DDoS,50332,1.0,1.0,1.0,0.0,nan,1.0,50332,0,0,0
weighted_ensemble__mqtt,DoS,11636,1.0,1.0,1.0,0.0,nan,1.0,11636,0,0,0
weighted_ensemble__mqtt,Malformed,1747,1.0,0.8374356038923869,0.9115264797507788,0.0,nan,1.0,1463,0,0,284
xgboost_tuned__wifi,Benign,41737,0.0,0.0,0.0,0.00016771689388312528,nan,0.0,0,41730,7,0
xgboost_tuned__wifi,DDoS,1066764,1.0,0.9999915632698516,0.9999957816171311,0.0,nan,1.0,1066755,0,0,9
xgboost_tuned__wifi,DoS,416676,1.0,0.9999928001612763,0.9999964000676788,0.0,nan,1.0,416673,0,0,3
xgboost_tuned__wifi,Recon,27676,1.0,0.9479693597340656,0.9732898056091408,0.0,nan,1.0,26236,0,0,1440
xgboost_tuned__wifi,Spoofing,1744,1.0,0.4994266055045872,0.6661567877629063,0.0,nan,1.0,871,0,0,873
