model,protocol_hint,n,precision,recall,f1,fpr,roc_auc,pr_auc,tp,tn,fp,fn
xgboost_tuned__bluetooth,bluetooth,31841,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.9999984813208721,0.9999995975087019,25170,6670,1,0
catboost_tuned__bluetooth,bluetooth,31841,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.999998409853619,0.9999995783150024,25170,6670,1,0
lightgbm_tuned__bluetooth,bluetooth,31841,0.9999205466391229,1.0,0.9999602717412895,0.00029980512666766604,0.9999948722245916,0.9999986348262994,25170,6669,2,0
complex_mlp_tuned__bluetooth,bluetooth,31841,0.9997753818508536,0.17683750496622963,0.30051988387009654,0.00014990256333383302,0.9998766058319541,0.9999311781434618,4451,6670,1,20719
weighted_ensemble__bluetooth,bluetooth,31841,0.9997753818508536,0.17683750496622963,0.30051988387009654,0.00014990256333383302,0.9998750633304085,0.999928797241725,4451,6670,1,20719
xgboost_tuned__mqtt,mqtt,63715,1.0,0.9974260378246881,0.9987113604576242,0.0,nan,0.9999999999999999,63551,0,0,164
catboost_tuned__mqtt,mqtt,63715,1.0,0.9956525151063329,0.9978215221032929,0.0,nan,1.0,63438,0,0,277
lightgbm_tuned__mqtt,mqtt,63715,1.0,0.9974731224986267,0.9987349629524864,0.0,nan,1.0,63554,0,0,161
complex_mlp_tuned__mqtt,mqtt,63715,1.0,0.9946323471709958,0.9973089512778547,0.0,nan,1.0,63373,0,0,342
weighted_ensemble__mqtt,mqtt,63715,1.0,0.9965628188024798,0.9982784507629058,0.0,nan,1.0,63496,0,0,219
xgboost_tuned__wifi,wifi,1554597,0.9999146676403816,0.999171767380987,0.999543079472432,0.0030907827587033088,0.9999430624709524,0.9999984351997927,1511607,41608,129,1253
catboost_tuned__wifi,wifi,1554597,0.9997935837629812,0.9989007575056515,0.999346971219451,0.0074753815559335845,0.999920502975927,0.9999978151782714,1511197,41425,312,1663
lightgbm_tuned__wifi,wifi,1554597,0.9998597632247579,0.9991122774083524,0.9994858805609622,0.0050794259290317945,0.9999177485360148,0.9999977403426323,1511517,41525,212,1343
complex_mlp_tuned__wifi,wifi,1554597,0.9998556433835337,0.9980639318905913,0.9989589842438444,0.005223183266645902,0.9996835748194899,0.9999913331136413,1509931,41519,218,2929
weighted_ensemble__wifi,wifi,1554597,0.999908056377977,0.999204817365784,0.9995563131807386,0.003330378321393488,0.9999435221474069,0.999998447865196,1511657,41598,139,1203
catboost_tuned__protocol_routed,bluetooth,31841,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.999998409853619,0.9999995783150024,25170,6670,1,0
catboost_tuned__protocol_routed,mqtt,63715,1.0,0.9956525151063329,0.9978215221032929,0.0,nan,1.0,63438,0,0,277
catboost_tuned__protocol_routed,wifi,1554597,0.9997935837629812,0.9989007575056515,0.999346971219451,0.0074753815559335845,0.9999205029838456,0.9999978151782716,1511197,41425,312,1663
complex_mlp_tuned__protocol_routed,bluetooth,31841,0.9997753818508536,0.17683750496622963,0.30051988387009654,0.00014990256333383302,0.9998766058319541,0.9999311781434618,4451,6670,1,20719
complex_mlp_tuned__protocol_routed,mqtt,63715,1.0,0.9946323471709958,0.9973089512778547,0.0,nan,1.0,63373,0,0,342
complex_mlp_tuned__protocol_routed,wifi,1554597,0.9998556433835337,0.9980639318905913,0.9989589842438444,0.005223183266645902,0.9996835748194899,0.9999913331136413,1509931,41519,218,2929
lightgbm_tuned__protocol_routed,bluetooth,31841,0.9999205466391229,1.0,0.9999602717412895,0.00029980512666766604,0.9999948722245916,0.9999986348262994,25170,6669,2,0
lightgbm_tuned__protocol_routed,mqtt,63715,1.0,0.9974731224986267,0.9987349629524864,0.0,nan,1.0,63554,0,0,161
lightgbm_tuned__protocol_routed,wifi,1554597,0.9998597632247579,0.9991122774083524,0.9994858805609622,0.0050794259290317945,0.9999177485360147,0.9999977403426324,1511517,41525,212,1343
weighted_ensemble__protocol_routed,bluetooth,31841,0.9997753818508536,0.17683750496622963,0.30051988387009654,0.00014990256333383302,0.9998750633304085,0.999928797241725,4451,6670,1,20719
weighted_ensemble__protocol_routed,mqtt,63715,1.0,0.9965628188024798,0.9982784507629058,0.0,nan,1.0,63496,0,0,219
weighted_ensemble__protocol_routed,wifi,1554597,0.999908056377977,0.999204817365784,0.9995563131807386,0.003330378321393488,0.9999435221474069,0.999998447865196,1511657,41598,139,1203
xgboost_tuned__protocol_routed,bluetooth,31841,0.9999602717412895,1.0,0.9999801354760534,0.00014990256333383302,0.9999984813208721,0.9999995975087019,25170,6670,1,0
xgboost_tuned__protocol_routed,mqtt,63715,1.0,0.9974260378246881,0.9987113604576242,0.0,nan,0.9999999999999999,63551,0,0,164
xgboost_tuned__protocol_routed,wifi,1554597,0.9999146676403816,0.999171767380987,0.999543079472432,0.0030907827587033088,0.9999430624709524,0.9999984351997927,1511607,41608,129,1253
