candidate_key,candidate_group_key,model_name,family_id,seed,protocols_present,has_all_protocols,gate_pass,gate_failure_category,worst_attacked_benign_fpr,worst_clean_fpr,worst_adv_malicious_recall,mean_clean_f1,mean_robust_f1,final_rank
xgboost__E__42,xgboost__E,xgboost,E,42,"bluetooth,mqtt,wifi",True,True,none,0.0003980891719745223,0.0,0.9911830714972748,0.9982158387320376,0.9983764035692043,1
xgboost__C__42,xgboost__C,xgboost,C,42,"bluetooth,mqtt,wifi",True,True,none,0.0006634819532908704,0.0,0.991503687079192,0.9982285763956155,0.9982335031271105,2
catboost__C__42,catboost__C,catboost,C,42,"bluetooth,mqtt,wifi",True,True,none,0.0006634819532908704,2.653857381704307e-05,0.9911830714972748,0.9970088273689162,0.9971421078978496,3
xgboost__A__42,xgboost__A,xgboost,A,42,"bluetooth,mqtt,wifi",True,True,none,0.0007961783439490446,0.0,0.991984610452068,0.9983053361575753,0.9982651804784283,4
catboost__D__42,catboost__D,catboost,D,42,"bluetooth,mqtt,wifi",True,True,none,0.0007961783439490446,2.653857381704307e-05,0.9910227637063161,0.9971361438343065,0.9975114376797628,5
catboost__E__42,catboost__E,catboost,E,42,"bluetooth,mqtt,wifi",True,True,none,0.0007961783439490446,2.653857381704307e-05,0.9908446544595393,0.9967299670513965,0.9967229850515426,6
xgboost__B__42,xgboost__B,xgboost,B,42,"bluetooth,mqtt,wifi",True,True,none,0.001326963906581741,2.653857381704307e-05,0.991503687079192,0.9983410718340341,0.9980864094709778,7
catboost__B__42,catboost__B,catboost,B,42,"bluetooth,mqtt,wifi",True,True,none,0.001326963906581741,5.307714763408614e-05,0.9911830714972748,0.9969583666707852,0.9969460957750022,8
catboost__A__42,catboost__A,catboost,A,42,"bluetooth,mqtt,wifi",True,True,none,0.0021231422505307855,5.307714763408614e-05,0.9910227637063161,0.9967957682701739,0.9963770458003153,9
xgboost__D__42,xgboost__D,xgboost,D,42,"bluetooth,mqtt,wifi",True,True,none,0.0025212314225053077,0.0,0.9911830714972748,0.9982952429207347,0.997591398163562,10
