seed,split_seed_used,stability_sampling_mode,candidate_key,candidate_group_key,model_name,family_id,global_gate_pass,worst_attacked_benign_fpr,worst_clean_fpr,worst_adv_malicious_recall,primary_fail_reason
43,42,fixed,catboost__C__43,catboost__C,catboost,C,True,0.0005307855626326964,0.0004928536224741252,0.9917708667307897,none
43,42,fixed,xgboost__E__43,xgboost__E,xgboost,E,True,0.0024642681123706258,0.001971414489896501,0.9906666666666667,none
43,42,fixed,xgboost__C__43,xgboost__C,xgboost,C,False,0.016264169541646133,0.016264169541646133,0.9900609169605643,fpr_only
44,42,fixed,catboost__C__44,catboost__C,catboost,C,True,0.0006824385805277526,0.0004928536224741252,0.9904884044031207,none
44,42,fixed,xgboost__E__44,xgboost__E,xgboost,E,True,0.001971414489896501,0.001971414489896501,0.9911296355669552,none
44,42,fixed,xgboost__C__44,xgboost__C,xgboost,C,False,0.017742730409068506,0.016264169541646133,0.9900609169605643,fpr_only
45,42,fixed,catboost__C__45,catboost__C,catboost,C,True,0.0009857072449482504,0.00034500145962155994,0.9909158918456771,none
45,42,fixed,xgboost__E__45,xgboost__E,xgboost,E,True,0.0024642681123706258,0.001971414489896501,0.9901666666666666,none
45,42,fixed,xgboost__C__45,xgboost__C,xgboost,C,False,0.019714144898965006,0.018235584031542632,0.9900609169605643,fpr_only
46,42,fixed,catboost__C__46,catboost__C,catboost,C,True,0.0007582650894752805,0.0004928536224741252,0.99,none
46,42,fixed,xgboost__E__46,xgboost__E,xgboost,E,True,0.0024642681123706258,0.001971414489896501,0.9904884044031207,none
46,42,fixed,xgboost__C__46,xgboost__C,xgboost,C,False,0.012814194184327254,0.01232134056185313,0.9901677888212034,fpr_only
47,42,fixed,catboost__C__47,catboost__C,catboost,C,True,0.0004928536224741252,0.0009857072449482504,0.9902746606818424,none
47,42,fixed,xgboost__E__47,xgboost__E,xgboost,E,True,0.0024642681123706258,0.001971414489896501,0.9900609169605643,none
47,42,fixed,xgboost__C__47,xgboost__C,xgboost,C,False,0.026121241991128634,0.02365697387875801,0.9900609169605643,fpr_only
48,42,fixed,catboost__C__48,catboost__C,catboost,C,True,0.0009099181073703367,0.0014785608674223755,0.9904884044031207,none
48,42,fixed,xgboost__E__48,xgboost__E,xgboost,E,True,0.0024642681123706258,0.001971414489896501,0.9907021481243988,none
48,42,fixed,xgboost__C__48,xgboost__C,xgboost,C,False,0.02858551010349926,0.026121241991128634,0.9900609169605643,fpr_only
49,42,fixed,catboost__C__49,catboost__C,catboost,C,True,0.00030330603579011223,0.0004928536224741252,0.9901666666666666,none
49,42,fixed,xgboost__E__49,xgboost__E,xgboost,E,True,0.0024642681123706258,0.001971414489896501,0.9916639948701507,none
49,42,fixed,xgboost__C__49,xgboost__C,xgboost,C,False,0.016757023164120255,0.015278462296697881,0.9900609169605643,fpr_only
50,42,fixed,catboost__C__50,catboost__C,catboost,C,True,0.00045495905368516835,0.00015923144290225843,0.9902746606818424,none
50,42,fixed,xgboost__E__50,xgboost__E,xgboost,E,True,0.001971414489896501,0.001971414489896501,0.991984610452068,none
50,42,fixed,xgboost__C__50,xgboost__C,xgboost,C,False,0.017742730409068506,0.01724987678659438,0.9900609169605643,fpr_only
