seed,split_seed_used,stability_sampling_mode,candidate_key,candidate_group_key,model_name,family_id,global_gate_pass,worst_attacked_benign_fpr,worst_clean_fpr,worst_adv_malicious_recall,primary_fail_reason
43,42,fixed,catboost__E__43,catboost__E,catboost,E,True,0.00015165301789505612,0.0009857072449482504,0.9902746606818424,none
43,42,fixed,xgboost__A__43,xgboost__A,xgboost,A,False,0.007392804337111878,0.007392804337111878,0.9903815325424815,fpr_only
43,42,fixed,xgboost__C__43,xgboost__C,xgboost,C,False,0.02759980285855101,0.027106949236076885,0.9900609169605643,fpr_only
44,42,fixed,catboost__E__44,catboost__E,catboost,E,True,0.00037913254473764026,0.00015923144290225843,0.9905952762637598,none
44,42,fixed,xgboost__A__44,xgboost__A,xgboost,A,False,0.008378511582060127,0.007885657959586003,0.9900609169605643,fpr_only
44,42,fixed,xgboost__C__44,xgboost__C,xgboost,C,False,0.023164120256283883,0.022671266633809757,0.9900609169605643,fpr_only
45,42,fixed,catboost__E__45,catboost__E,catboost,E,True,0.0009857072449482504,0.0024642681123706258,0.9901677888212034,none
45,42,fixed,xgboost__A__45,xgboost__A,xgboost,A,False,0.010349926071956629,0.009364218827008379,0.9902746606818424,fpr_only
45,42,fixed,xgboost__C__45,xgboost__C,xgboost,C,False,0.018235584031542632,0.01724987678659438,0.9900609169605643,fpr_only
46,42,fixed,catboost__E__46,catboost__E,catboost,E,True,0.00015165301789505612,0.0009857072449482504,0.9900609169605643,none
46,42,fixed,xgboost__A__46,xgboost__A,xgboost,A,False,0.007885657959586003,0.007885657959586003,0.9900609169605643,fpr_only
46,42,fixed,xgboost__C__46,xgboost__C,xgboost,C,False,0.01330704780680138,0.013799901429275506,0.9900609169605643,fpr_only
47,42,fixed,catboost__E__47,catboost__E,catboost,E,True,0.00030330603579011223,0.00023884716435338766,0.9907021481243988,none
47,42,fixed,xgboost__A__47,xgboost__A,xgboost,A,False,0.01232134056185313,0.010842779694430755,0.9900609169605643,fpr_only
47,42,fixed,xgboost__C__47,xgboost__C,xgboost,C,False,0.02759980285855101,0.02661409561360276,0.9900609169605643,fpr_only
48,42,fixed,catboost__E__48,catboost__E,catboost,E,True,0.00015165301789505612,0.0004928536224741252,0.9912365074275943,none
48,42,fixed,xgboost__A__48,xgboost__A,xgboost,A,False,0.010842779694430755,0.009857072449482503,0.9900609169605643,fpr_only
48,42,fixed,xgboost__C__48,xgboost__C,xgboost,C,False,0.019221291276490884,0.01724987678659438,0.99,fpr_only
49,42,fixed,catboost__E__49,catboost__E,catboost,E,True,0.00030330603579011223,0.0004928536224741252,0.9903815325424815,none
49,42,fixed,xgboost__A__49,xgboost__A,xgboost,A,False,0.008378511582060127,0.007885657959586003,0.9902746606818424,fpr_only
49,42,fixed,xgboost__C__49,xgboost__C,xgboost,C,False,0.016264169541646133,0.016264169541646133,0.9900609169605643,fpr_only
50,42,fixed,catboost__E__50,catboost__E,catboost,E,True,0.0004928536224741252,0.0014785608674223755,0.9901677888212034,none
50,42,fixed,xgboost__A__50,xgboost__A,xgboost,A,False,0.01232134056185313,0.010842779694430755,0.9900609169605643,fpr_only
50,42,fixed,xgboost__C__50,xgboost__C,xgboost,C,False,0.02661409561360276,0.028092656481025137,0.9900609169605643,fpr_only
